Tarama Tarihi,Fon Kodu,Fon Adı,Son Fiyat
2025-07-24,GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,GBN,GARANTİ PORTFÖY BEŞİNCİ SERBEST (TL) FON,
2025-07-24,GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,
2025-07-24,GGK,INVEO PORTFÖY  ALTIN FON,
2025-07-24,GHS,GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GKF,GLOBAL MD PORTFÖY KATILIM FONU,
2025-07-24,GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,
2025-07-24,GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,
2025-07-24,GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,
2025-07-24,GMA,AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,
2025-07-24,GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,
2025-07-24,GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GMR,INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GO2,FONERİA PORTFÖY KATILIM FON SEPETİ FONU,
2025-07-24,GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,
2025-07-24,GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,
2025-07-24,GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,GO9,FONERİA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,
2025-07-24,GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,
2025-07-24,GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,
2025-07-24,GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,
2025-07-24,GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,
2025-07-24,GRL,QNB PORTFÖY AGRESİF SERBEST FON,
2025-07-24,GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,
2025-07-24,GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GTA,GARANTİ PORTFÖY ALTIN FONU,
2025-07-24,GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GTY,GARANTİ PORTFÖY TREND SERBEST FON,
2025-07-24,GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,
2025-07-24,GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,
2025-07-24,GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,
2025-07-24,GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,
2025-07-24,GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,
2025-07-24,GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,
2025-07-24,GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,
2025-07-24,GZG,GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,
2025-07-24,GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,
2025-07-24,GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,GZM,GLOBAL MD PORTFÖY DİNAMİK SERBEST (TL) FON,
2025-07-24,GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,
2025-07-24,GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,
2025-07-24,GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,GZZ,GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,
2025-07-24,HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HBF,HSBC PORTFÖY ALTIN FONU,
2025-07-24,HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,
2025-07-24,HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,
2025-07-24,HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HIM,HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,
2025-07-24,HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,
2025-07-24,HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,
2025-07-24,HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),
2025-07-24,HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,
2025-07-24,HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HNC,HEDEF PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,
2025-07-24,HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,
2025-07-24,HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,
2025-07-24,HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,HPH,HEDEF PORTFÖY PARA PIYASASI KATILIM FONU,
2025-07-24,HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,
2025-07-24,HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,
2025-07-24,HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,
2025-07-24,HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,HYP,AZİMUT PORTFÖY İVME SERBEST FON,
2025-07-24,HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,
2025-07-24,HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,
2025-07-24,IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,
2025-07-24,IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,
2025-07-24,IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IAY,INVEO PORTFÖY ALTIN KATILIM FONU,
2025-07-24,IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,
2025-07-24,ICA,ICBC TURKEY PORTFÖY ALTIN FONU,
2025-07-24,ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,ICD,ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,ICE,ICBC TURKEY PORTFOY PARA PİYASASI (TL) FONU,
2025-07-24,ICF,ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),
2025-07-24,ICH,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,
2025-07-24,ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,
2025-07-24,ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,
2025-07-24,IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,
2025-07-24,IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IDI,AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,
2025-07-24,IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),
2025-07-24,IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IHC,INVEO PORTFÖY INTER SERBEST FON,
2025-07-24,IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IHP,İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,
2025-07-24,IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,
2025-07-24,IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,
2025-07-24,IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,
2025-07-24,IJT,İŞ PORTFÖY TARIM SERBEST FON,
2025-07-24,IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,
2025-07-24,IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,
2025-07-24,IKV,İŞ PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,
2025-07-24,IMB,İSTANBUL PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,
2025-07-24,IML,İŞ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,
2025-07-24,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,
2025-07-24,IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,
2025-07-24,IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,
2025-07-24,IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,IRO,İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON,
2025-07-24,IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,
2025-07-24,IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,
2025-07-24,IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,
2025-07-24,IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,
2025-07-24,IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,
2025-07-24,IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,
2025-07-24,IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,IYB,AURA PORTFÖY DEĞİŞKEN FONU,
2025-07-24,IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,
2025-07-24,IZF,QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON,
2025-07-24,IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,
2025-07-24,JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,JUP,AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON,
2025-07-24,KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,
2025-07-24,KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,
2025-07-24,KDT,GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON,
2025-07-24,KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,
2025-07-24,KHA,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KHB,KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KHC,PARDUS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KHJ,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,
2025-07-24,KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,KID,TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,KIF,TRIVE PORTFÖY EMTİA SERBEST FON,
2025-07-24,KIH,KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,KIS,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,
2025-07-24,KKC,KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,
2025-07-24,KKL,ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,
2025-07-24,KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
